condition,seed,epsilon_m,kernel_sigma_m,candidates,selected,correct,precision,recall,pose_status,translation_error_m,yaw_error_deg,consistent,error
clean,63,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,63,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,64,0.05,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
clean,64,0.2,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
clean,64,0.5,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
clean,65,0.05,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
clean,65,0.2,0.2,34,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
clean,65,0.5,0.2,34,10,10,1.0,1.0,estimated,8.881784197001252e-16,0.0,True,
clean,66,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,66,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,66,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,67,0.05,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
clean,67,0.2,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
clean,67,0.5,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
clean,68,0.05,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
clean,68,0.2,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
clean,68,0.5,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
clean,69,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,69,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,69,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,70,0.05,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,70,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,0.0,True,
clean,70,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,71,0.05,0.2,34,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
clean,71,0.2,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
clean,71,0.5,0.2,34,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,42,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,42,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,42,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,43,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,43,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,43,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,44,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,44,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,44,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,45,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,45,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,45,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,46,0.05,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
extra_5,46,0.2,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,46,0.5,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,47,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,47,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,47,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,48,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,48,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,48,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,49,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,49,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,1.2722218725854067e-14,True,
extra_5,49,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,1.2722218725854067e-14,True,
extra_5,50,0.05,0.2,51,10,10,1.0,1.0,estimated,8.881784197001252e-16,6.3611093629270335e-15,True,
extra_5,50,0.2,0.2,51,10,10,1.0,1.0,estimated,8.881784197001252e-16,0.0,True,
extra_5,50,0.5,0.2,51,10,10,1.0,1.0,estimated,8.881784197001252e-16,0.0,True,
extra_5,51,0.05,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
extra_5,51,0.2,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
extra_5,51,0.5,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
extra_5,52,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,52,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,52,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,53,0.05,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
extra_5,53,0.2,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
extra_5,53,0.5,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
extra_5,54,0.05,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,54,0.2,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,54,0.5,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,55,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,55,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,55,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,56,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,1.2722218725854067e-14,True,
extra_5,56,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,56,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,57,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,57,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,57,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,58,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,58,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,58,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,59,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,59,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,59,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,60,0.05,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
extra_5,60,0.2,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
extra_5,60,0.5,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,0.0,True,
extra_5,61,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,61,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,61,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,62,0.05,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
extra_5,62,0.2,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
extra_5,62,0.5,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
extra_5,63,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,63,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,63,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,64,0.05,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
extra_5,64,0.2,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
extra_5,64,0.5,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
extra_5,65,0.05,0.2,51,10,10,1.0,1.0,estimated,1.9860273225978185e-15,6.3611093629270335e-15,True,
extra_5,65,0.2,0.2,51,10,10,1.0,1.0,estimated,8.881784197001252e-16,0.0,True,
extra_5,65,0.5,0.2,51,10,10,1.0,1.0,estimated,8.881784197001252e-16,0.0,True,
extra_5,66,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,66,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,66,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,67,0.05,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
extra_5,67,0.2,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,67,0.5,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,6.3611093629270335e-15,True,
extra_5,68,0.05,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,68,0.2,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,68,0.5,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,69,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,69,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,69,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,70,0.05,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
extra_5,70,0.2,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,70,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,0.0,True,
extra_5,71,0.05,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,71,0.2,0.2,51,10,10,1.0,1.0,estimated,1.7763568394002505e-15,0.0,True,
extra_5,71,0.5,0.2,51,10,10,1.0,1.0,estimated,0.0,6.3611093629270335e-15,True,
noise_020,42,0.05,0.2,34,4,4,1.0,0.4,estimated,0.2744362520363756,0.5397329335329194,True,
noise_020,42,0.2,0.2,34,5,5,1.0,0.5,estimated,0.28511866048022505,0.310655162492472,True,
noise_020,42,0.5,0.2,34,6,6,1.0,0.6,estimated,0.249263727023879,1.0961263817645435,True,
noise_020,43,0.05,0.2,34,2,2,1.0,0.2,estimated,0.11501367619132292,7.227201992229688,True,
noise_020,43,0.2,0.2,34,4,4,1.0,0.4,estimated,0.12135386021550304,2.248577196369542,True,
noise_020,43,0.5,0.2,34,6,6,1.0,0.6,estimated,0.08910876714230045,0.735604080411542,True,
noise_020,44,0.05,0.2,34,3,3,1.0,0.3,estimated,0.07312565874633076,1.4002652839893104,True,
noise_020,44,0.2,0.2,34,5,5,1.0,0.5,estimated,0.09010486332734371,0.4177767329086784,True,
noise_020,44,0.5,0.2,34,6,6,1.0,0.6,estimated,0.07427243105556958,0.45739265124672157,True,
noise_020,45,0.05,0.2,34,2,2,1.0,0.2,estimated,0.18583812001382383,1.5567433819493208,True,
noise_020,45,0.2,0.2,34,3,3,1.0,0.3,estimated,0.2598033462049842,0.4326028545023888,True,
noise_020,45,0.5,0.2,34,5,5,1.0,0.5,estimated,0.15707524694106317,0.779471349482647,True,
noise_020,46,0.05,0.2,34,3,3,1.0,0.3,estimated,0.07570976244952772,0.30790017728567404,True,
noise_020,46,0.2,0.2,34,6,6,1.0,0.6,estimated,0.029151667529709598,0.19792961273053078,True,
noise_020,46,0.5,0.2,34,7,7,1.0,0.7,estimated,0.04305242311011617,0.14095942564039388,True,
noise_020,47,0.05,0.2,34,2,0,0.0,0.0,estimated,0.9677991674921391,108.73362415248452,True,
noise_020,47,0.2,0.2,34,4,4,1.0,0.4,estimated,0.04570682129175884,1.3176526438508198,True,
noise_020,47,0.5,0.2,34,6,6,1.0,0.6,estimated,0.14223345703485132,0.049738777661227584,True,
noise_020,48,0.05,0.2,34,2,2,1.0,0.2,estimated,0.526153296410074,7.154516610530252,True,
noise_020,48,0.2,0.2,34,5,5,1.0,0.5,estimated,0.0702770151339354,0.5075610481280577,True,
noise_020,48,0.5,0.2,34,7,7,1.0,0.7,estimated,0.03531992563309855,0.22535154874237123,True,
noise_020,49,0.05,0.2,34,2,2,1.0,0.2,estimated,0.23466600712965302,1.4247932726251082,True,
noise_020,49,0.2,0.2,34,4,4,1.0,0.4,estimated,0.16731661065279435,2.1143136691092885,True,
noise_020,49,0.5,0.2,34,6,6,1.0,0.6,estimated,0.23709144603175933,1.1843370426504132,True,
noise_020,50,0.05,0.2,34,2,2,1.0,0.2,estimated,0.26945332709325254,2.1092398018932927,True,
noise_020,50,0.2,0.2,34,4,4,1.0,0.4,estimated,0.1924403729985189,1.2251799191717618,True,
noise_020,50,0.5,0.2,34,6,6,1.0,0.6,estimated,0.18947601941633865,1.3823751923098582,True,
noise_020,51,0.05,0.2,34,2,0,0.0,0.0,estimated,5.235563284708289,97.78229992523428,True,
noise_020,51,0.2,0.2,34,4,4,1.0,0.4,estimated,0.18848928809656376,2.009996749678321,True,
noise_020,51,0.5,0.2,34,5,5,1.0,0.5,estimated,0.2205062554078057,1.8959161122472061,True,
noise_020,52,0.05,0.2,34,2,2,1.0,0.2,estimated,0.11780870638165718,2.3712488635122537,True,
noise_020,52,0.2,0.2,34,4,4,1.0,0.4,estimated,0.3265734257202179,1.6896360748340955,True,
noise_020,52,0.5,0.2,34,6,6,1.0,0.6,estimated,0.14611496816942157,2.4929739592051003,True,
noise_020,53,0.05,0.2,34,2,2,1.0,0.2,estimated,0.22911237112578353,1.9500848226299992,True,
noise_020,53,0.2,0.2,34,4,4,1.0,0.4,estimated,0.15739686905668793,1.6043210897645355,True,
noise_020,53,0.5,0.2,34,6,6,1.0,0.6,estimated,0.10011629333151133,1.1233343506672182,True,
noise_020,54,0.05,0.2,34,3,3,1.0,0.3,estimated,0.029991886490697214,0.9004914871570201,True,
noise_020,54,0.2,0.2,34,5,5,1.0,0.5,estimated,0.02272358237885707,0.3266598541617251,True,
noise_020,54,0.5,0.2,34,5,5,1.0,0.5,estimated,0.02272358237885707,0.3266598541617188,True,
noise_020,55,0.05,0.2,34,2,2,1.0,0.2,estimated,0.3460171661688066,5.940121304375935,True,
noise_020,55,0.2,0.2,34,4,4,1.0,0.4,estimated,0.14495114591591884,2.345776506534591,True,
noise_020,55,0.5,0.2,34,6,6,1.0,0.6,estimated,0.17718492689146012,2.612540860623749,True,
noise_020,56,0.05,0.2,34,2,2,1.0,0.2,estimated,0.20407605097320428,2.497668303720746,True,
noise_020,56,0.2,0.2,34,5,5,1.0,0.5,estimated,0.11739051072988216,2.381111809770496,True,
noise_020,56,0.5,0.2,34,7,7,1.0,0.7,estimated,0.07743737889069247,1.2640974067940591,True,
noise_020,57,0.05,0.2,34,2,2,1.0,0.2,estimated,0.4113967290736173,6.402783941847736,True,
noise_020,57,0.2,0.2,34,4,4,1.0,0.4,estimated,0.3329472450283213,6.907423061377642,True,
noise_020,57,0.5,0.2,34,6,6,1.0,0.6,estimated,0.18028624606142094,0.7525181629217879,True,
noise_020,58,0.05,0.2,34,4,4,1.0,0.4,estimated,0.18735261964061514,1.7721902717554148,True,
noise_020,58,0.2,0.2,34,5,5,1.0,0.5,estimated,0.17177586845403806,1.5308983415560538,True,
noise_020,58,0.5,0.2,34,6,6,1.0,0.6,estimated,0.14279497224826604,1.7817825642599558,True,
noise_020,59,0.05,0.2,34,3,3,1.0,0.3,estimated,0.3466463408189484,1.6649569839282563,True,
noise_020,59,0.2,0.2,34,5,5,1.0,0.5,estimated,0.17457077769034626,0.7464522196242551,True,
noise_020,59,0.5,0.2,34,7,7,1.0,0.7,estimated,0.08311645125693096,0.5580818206074181,True,
noise_020,60,0.05,0.2,34,2,2,1.0,0.2,estimated,0.25660016625858717,2.9379732912329173,True,
noise_020,60,0.2,0.2,34,4,4,1.0,0.4,estimated,0.07118712252531358,1.4910356291289812,True,
noise_020,60,0.5,0.2,34,6,6,1.0,0.6,estimated,0.015536229912964114,1.797130524656695,True,
noise_020,61,0.05,0.2,34,3,3,1.0,0.3,estimated,0.08227953815580141,0.3204055191401705,True,
noise_020,61,0.2,0.2,34,4,4,1.0,0.4,estimated,0.19809064749771227,3.1257731872918475,True,
