condition,seed,extra_objects,noise_std_m,candidate_count,correct_candidates,candidate_precision,candidate_recall,oracle_translation_error_m,oracle_yaw_error_deg
clean,42,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,43,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,44,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,45,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,46,0,0.0,34,10,0.29411764705882354,1.0,1.7763568394002505e-15,6.3611093629270335e-15
clean,47,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,48,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,49,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,50,0,0.0,34,10,0.29411764705882354,1.0,8.881784197001252e-16,0.0
clean,51,0,0.0,34,10,0.29411764705882354,1.0,1.9860273225978185e-15,6.3611093629270335e-15
clean,52,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,53,0,0.0,34,10,0.29411764705882354,1.0,1.9860273225978185e-15,0.0
clean,54,0,0.0,34,10,0.29411764705882354,1.0,1.7763568394002505e-15,6.3611093629270335e-15
clean,55,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,56,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,57,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,58,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,59,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,60,0,0.0,34,10,0.29411764705882354,1.0,1.9860273225978185e-15,6.3611093629270335e-15
clean,61,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,62,0,0.0,34,10,0.29411764705882354,1.0,1.7763568394002505e-15,6.3611093629270335e-15
clean,63,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,64,0,0.0,34,10,0.29411764705882354,1.0,1.9860273225978185e-15,6.3611093629270335e-15
clean,65,0,0.0,34,10,0.29411764705882354,1.0,1.9860273225978185e-15,6.3611093629270335e-15
clean,66,0,0.0,34,10,0.29411764705882354,1.0,0.0,0.0
clean,67,0,0.0,34,10,0.29411764705882354,1.0,1.7763568394002505e-15,6.3611093629270335e-15
clean,68,0,0.0,34,10,0.29411764705882354,1.0,1.7763568394002505e-15,6.3611093629270335e-15
clean,69,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,70,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
clean,71,0,0.0,34,10,0.29411764705882354,1.0,0.0,6.3611093629270335e-15
extra_2,42,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,43,2,0.0,41,10,0.24390243902439024,1.0,0.0,6.3611093629270335e-15
extra_2,44,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,45,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,46,2,0.0,41,10,0.24390243902439024,1.0,1.7763568394002505e-15,0.0
extra_2,47,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,48,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
